Line,Message
1,=== Battle Log ===
2,Battle started!
3, 
4,--- Turn 1 ---
5, 
6,[Ally¡¯s Turn]
7,- Angel attacks! Zombie takes 0 damage.
8, 
9,[Enemy¡¯s Turn]
10,- Reaper defends! Reaper's defense increases by 13 for 2 rounds.
11, 
12,[Ally¡¯s Turn]
13,- Orc attacks! Golem takes 0 damage.
14, 
15,[Enemy¡¯s Turn]
16,- Golem attacks! Deals 0 damage.
17, 
18,[Ally¡¯s Turn]
19,- Minotaur attacks! Reaper takes 0 damage.
20, 
21,[Enemy¡¯s Turn]
22,- Zombie attacks! Deals 190 damage.
23,* Ally defeated! *
24, 
25,--- Turn 2 ---
26, 
27,[Ally¡¯s Turn]
28,- Angel attacks! Golem takes 0 damage.
29, 
30,[Enemy¡¯s Turn]
31,- Reaper attacks! Deals 108 damage.
32,- Golem defends! Golem's defense increases by 28 for 2 rounds.
33, 
34,[Ally¡¯s Turn]
35,- Minotaur attacks! Zombie takes 65 damage.
36, 
37,[Enemy¡¯s Turn]
38,- Zombie defends! Zombie's defense increases by 14 for 2 rounds.
39, 
40,--- Turn 3 ---
41, 
42,[Ally¡¯s Turn]
43,- Angel attacks! Reaper takes 36 damage.
44, 
45,[Enemy¡¯s Turn]
46,- Reaper uses Blazing Valor! Deals 41 damage.
47,* Ally defeated! *
48,- Golem uses Celestial Torrent! Deals 22 damage.
49, 
50,[Ally¡¯s Turn]
51,- Minotaur attacks! Zombie takes 36 damage.
52, 
53,--- Turn 4 ---
54, 
55,[Enemy¡¯s Turn]
56,- Reaper defends! Reaper's defense increases by 16 for 2 rounds.
57,- Golem attacks! Deals 0 damage.
58, 
59,[Ally¡¯s Turn]
60,- Minotaur attacks! Golem takes 97 damage.
61, 
62,[Enemy¡¯s Turn]
63,- Zombie attacks! Deals 0 damage.
64, 
65,--- Turn 5 ---
66, 
67,[Enemy¡¯s Turn]
68,- Reaper defends! Reaper's defense increases by 19 for 2 rounds.
69,- Golem attacks! Deals 0 damage.
70, 
71,[Ally¡¯s Turn]
72,- Minotaur attacks! Reaper takes 0 damage.
73, 
74,[Enemy¡¯s Turn]
75,- Zombie defends! Zombie's defense increases by 19 for 2 rounds.
76, 
77,--- Turn 6 ---
78, 
79,[Enemy¡¯s Turn]
80,- Reaper uses Blazing Valor! Deals 14 damage.
81,- Golem attacks! Deals 0 damage.
82, 
83,[Ally¡¯s Turn]
84,- Minotaur attacks! Zombie takes 24 damage.
85, 
86,[Enemy¡¯s Turn]
87,- Zombie defends! Zombie's defense increases by 25 for 2 rounds.
88, 
89,--- Turn 7 ---
90, 
91,[Enemy¡¯s Turn]
92,- Reaper defends! Reaper's defense increases by 22 for 2 rounds.
93,- Golem attacks! Deals 0 damage.
94, 
95,[Ally¡¯s Turn]
96,- Minotaur attacks! Golem takes 69 damage.
97, 
98,[Enemy¡¯s Turn]
99,- Zombie uses Blazing Valor! Deals 50 damage.
100, 
101,--- Turn 8 ---
102, 
103,[Enemy¡¯s Turn]
104,- Reaper defends! Reaper's defense increases by 27 for 2 rounds.
105,- Golem defends! Golem's defense increases by 30 for 2 rounds.
106, 
107,[Ally¡¯s Turn]
108,- Minotaur attacks! Golem takes 10 damage.
109, 
110,[Enemy¡¯s Turn]
111,- Zombie attacks! Deals 95 damage.
112,* Ally defeated! *
113,=== Enemies Win! ===
